_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
98,6865,53646,guizhou minzu university,guiyang,Guizhou Province,china,http://www.gzmu.edu.cn/,nanjing university,nanjing,,china,nju
99,6865,57559,guizhou minzu university,guiyang,Guizhou Province,china,http://www.gzmu.edu.cn/,tsinghua university,beijing,,china,gmail
100,6865,35953,guizhou minzu university,guiyang,Guizhou Province,china,http://www.gzmu.edu.cn/,xiamen university,xiamen,,china,gmail
101,12223,45727,munich business school,munchen,,germany,http://www.munich-business-school.de,ebs business school,oestrich winkel,,germany,ebs
102,6869,53646,guizhou university finance economics,guiyang,Guizhou Province,china,http://www.gufe.edu.cn/web/english,nanjing university,nanjing,,china,nju
103,12227,57513,murdoch university,murdoch,Western Australia,australia,http://www.murdoch.edu.au,deakin university,melbourne,victoria,australia,deakin
104,12227,57992,murdoch university,murdoch,Western Australia,australia,http://www.murdoch.edu.au,griffith university,nathan,qld,australia,griffith
105,12227,56196,murdoch university,murdoch,Western Australia,australia,http://www.murdoch.edu.au,griffith university,brisbane,qld,australia,griffithuni
106,23022,40656,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,university calgary,calgary,alberta,canada,ucalgary
107,23022,1715,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,york university,toronto,on,canada,yorku
108,23022,36472,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,university calgary,calgary,alberta,canada,gmail
109,23022,9699,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,university manitoba,winnipeg,mb,canada,umanitoba
110,23022,35077,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,brock university,dundas,on,canada,brocku
111,23022,39773,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,university british columbia,vancouver,bc,canada,ubc
112,23022,48034,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,university waterloo,waterloo,on,canada,uwaterloo
113,23022,58670,university saskatchewan briercrest college seminary,caronport, Saskatchewan,canada,http://www.briercrest.ca/,university toronto,toronto,on,canada,gmail
114,23034,52224,university isable 1,burgos,,spain,http://www.ui1.es,university granada,granada,provincia,spain,ugr
115,23034,56247,university isable 1,burgos,,spain,http://www.ui1.es,university rovira i virgili,reus,,spain,cat
116,23034,58431,university isable 1,burgos,,spain,http://www.ui1.es,university carlos iii de madrid,madrid,,spain,uc3m
117,23035,52224,international university valencia,valencia,,spain,http://www.viu.es,university granada,granada,provincia,spain,ugr
118,23033,52224,loyola university andalusia,sevilla,,spain,http://www.uloyola.es/,university granada,granada,provincia,spain,ugr
119,23081,39909,paris 1 pantheon sorbonne university sorbonne graduate business school iae de paris,paris,cedex 05,france,http://www.iae-paris.com/,novancia business school,paris,,france,novancia
120,23081,20257,paris 1 pantheon sorbonne university sorbonne graduate business school iae de paris,paris,cedex 05,france,http://www.iae-paris.com/,emlyon business school,ecully,ecullly,france,em-lyon
121,23081,1716,paris 1 pantheon sorbonne university sorbonne graduate business school iae de paris,paris,cedex 05,france,http://www.iae-paris.com/,hec paris,jouy en josas,washington,france,hec
122,23081,46332,paris 1 pantheon sorbonne university sorbonne graduate business school iae de paris,paris,cedex 05,france,http://www.iae-paris.com/,emlyon business school,ecully,,france,em-lyon
123,23081,45570,paris 1 pantheon sorbonne university sorbonne graduate business school iae de paris,paris,cedex 05,france,http://www.iae-paris.com/,copenhagen business school,frederiksberg copenhagen,,france,cbs
124,23081,3159,paris 1 pantheon sorbonne university sorbonne graduate business school iae de paris,paris,cedex 05,france,http://www.iae-paris.com/,university pantheon assas paris ii,paris,,france,wanadoo
125,23083,39909,university lorraine icn business school,nancy,,france,http://www.icn-groupe.fr/fr,novancia business school,paris,,france,novancia
126,23083,20257,university lorraine icn business school,nancy,,france,http://www.icn-groupe.fr/fr,emlyon business school,ecully,ecullly,france,em-lyon
127,23083,46332,university lorraine icn business school,nancy,,france,http://www.icn-groupe.fr/fr,emlyon business school,ecully,,france,em-lyon
128,23083,45570,university lorraine icn business school,nancy,,france,http://www.icn-groupe.fr/fr,copenhagen business school,frederiksberg copenhagen,,france,cbs
129,6911,47664,gwangju university,gwangju si,Gyeonggi-do,south korea,http://www.gwangju.ac.kr,seoul national university,seoul,,south korea,snu
130,6911,48118,gwangju university,gwangju si,Gyeonggi-do,south korea,http://www.gwangju.ac.kr,seoul national university,seoul,,south korea,naver
131,6911,24865,gwangju university,gwangju si,Gyeonggi-do,south korea,http://www.gwangju.ac.kr,ajou university,suwon,gyunggi-do,south korea,ajou
132,23096,39909,university evry val d essonne computer science industry business school ensiie,evry,Cedex,france,http://www.ensiie.fr/,novancia business school,paris,,france,novancia
133,23096,20257,university evry val d essonne computer science industry business school ensiie,evry,Cedex,france,http://www.ensiie.fr/,emlyon business school,ecully,ecullly,france,em-lyon
134,23096,46332,university evry val d essonne computer science industry business school ensiie,evry,Cedex,france,http://www.ensiie.fr/,emlyon business school,ecully,,france,em-lyon
135,23096,45570,university evry val d essonne computer science industry business school ensiie,evry,Cedex,france,http://www.ensiie.fr/,copenhagen business school,frederiksberg copenhagen,,france,cbs
136,974,56129,anglia ruskin university,chelmsford,,united kingdom,http://www.anglia.ac.uk,lancaster university,lancaster,,united kingdom,lancaster
137,974,21966,anglia ruskin university,chelmsford,,united kingdom,http://www.anglia.ac.uk,durham university,durham,,united kingdom,durham
138,974,58609,anglia ruskin university,chelmsford,,united kingdom,http://www.anglia.ac.uk,university east anglia,norwich,nr4 7tj,united kingdom,uea
139,974,44116,anglia ruskin university,chelmsford,,united kingdom,http://www.anglia.ac.uk,lancaster university,lancaster,,united kingdom,lancaster
140,977,53646,anhui agricultural university,hefei,Anhui Province,china,http://www.ahau.edu.cn,nanjing university,nanjing,,china,nju
141,977,57559,anhui agricultural university,hefei,Anhui Province,china,http://www.ahau.edu.cn,tsinghua university,beijing,,china,gmail
142,977,35953,anhui agricultural university,hefei,Anhui Province,china,http://www.ahau.edu.cn,xiamen university,xiamen,,china,gmail
143,23113,45727,bsp business school berlin potsdam,berlin,,germany,http://www.businessschool-berlin-potsdam.de/,ebs business school,oestrich winkel,,germany,ebs
